Amostra, Largura(px),Altura(px),Área(px²)
folha 7,92,71,4002
folha 3 ,224,10,18319
folha 11,                  165.58,102,10122
folha 12,91,43,2918
folha 13,                  147.73,96,9003
folha 14,224,190,34965
folha 25,194,179,27004
folha 16,203,178,25448
folha 17,103,57,4066
folha 19,195,142,18344
folha 20,                  171.30,61,11659
folha 21,                  155.23,102,9444
folha 22,218,200,33858
folha 27,224,165,28548
folha 28,208,194,31133
folha 29,                  166.48,105,11834
folha 30,124,113,9716
folha 32,111,212,18212
folha 33,                  108.47,67,4546
folha 34,                  168.12,103,11218
